,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
270,Seattle,27,16,11,.593,4.49,3.21,,5,9,,12,3,,3,7,,1958,1817,,69.6,103.8,.336,.378,.538,48.2,53.3,11.4,13.8,.505,15.1,27.1,.237
271,Seton Hall,26,18,8,.692,13.74,7.05,,8,7,,11,3,,5,4,,1864,1690,,66.9,107.1,.360,.267,.521,52.0,51.4,14.1,18.9,.481,13.8,35.9,.258
272,Siena,27,18,9,.667,-4.09,-8.97,,11,5,,7,4,,9,5,,1917,1785,,64.6,109.9,.321,.318,.551,52.2,51.6,9.9,8.7,.515,13.8,32.2,.240
273,South Alabama,27,19,8,.704,-4.17,-6.37,,9,5,,8,2,,8,6,,2011,1874,,66.5,109.9,.396,.353,.553,49.1,44.0,12.1,10.4,.526,11.5,25.9,.262
274,South Carolina,25,11,14,.440,7.32,6.80,,2,10,,10,6,,1,6,,1911,1898,,68.3,110.2,.369,.440,.556,47.9,53.3,8.2,6.3,.508,12.6,26.9,.292
275,South Carolina State,24,6,18,.250,-23.00,-5.86,,4,4,,5,4,,1,14,,1561,1918,,70.3,92.5,.387,.330,.491,46.4,51.4,10.1,11.0,.458,18.2,31.1,.246
276,South Carolina Upstate,27,11,16,.407,-9.52,-4.06,,3,9,,8,5,,3,11,,2042,2018,,70.5,105.3,.346,.358,.534,49.5,47.7,9.0,11.9,.504,15.0,29.7,.234
277,South Dakota,27,14,13,.519,-8.18,-4.39,,6,6,,10,5,,3,8,,2189,2191,,71.7,111.1,.433,.353,.561,50.7,46.1,9.2,5.9,.515,14.5,32.0,.323
278,South Dakota State,27,12,15,.444,-2.17,-2.17,,5,7,,8,3,,3,8,,2046,1960,,68.3,110.5,.306,.392,.558,52.4,51.5,8.9,8.2,.531,14.1,30.6,.215
279,South Florida,26,18,8,.692,11.24,2.96,,10,3,,10,2,,7,3,,2308,2040,,73.9,117.4,.427,.443,.560,52.9,58.8,11.8,11.5,.518,12.8,37.5,.313
280,Southeast Missouri State,27,16,11,.593,-6.33,-7.00,,11,5,,9,4,,6,7,,2045,1929,,71.2,106.4,.382,.366,.548,51.3,48.6,9.4,9.7,.516,14.6,29.6,.261
281,Southeastern Louisiana,27,8,19,.296,-8.69,-2.38,,5,13,,5,5,,1,14,,1731,1869,,65.6,97.3,.389,.399,.505,48.2,52.8,10.7,8.6,.465,16.7,29.0,.266
282,Southern,26,12,14,.462,-10.65,-4.78,,8,5,,7,2,,5,12,,2088,2041,,73.0,108.4,.395,.330,.543,50.3,51.5,13.2,10.7,.507,14.2,32.4,.276
283,Southern California,25,18,7,.720,13.54,9.49,,7,7,,9,3,,5,4,,2032,1896,,71.5,111.5,.474,.332,.566,52.9,55.5,9.0,15.6,.523,14.9,34.4,.341
284,Southern Illinois,27,12,15,.444,3.36,1.79,,6,10,,7,6,,4,8,,2001,1919,,70.5,103.7,.340,.287,.528,51.7,48.7,11.3,10.7,.498,14.9,30.4,.231
285,SIU Edwardsville,27,17,10,.630,-7.36,-9.36,,10,6,,8,5,,8,5,,1951,1754,,67.0,107.4,.329,.354,.538,51.5,51.2,11.3,11.4,.510,14.9,32.6,.225
286,Southern Indiana,26,5,21,.192,-15.85,-7.85,,2,14,,3,10,,2,9,,1781,1919,,69.4,97.8,.361,.419,.483,47.9,43.6,9.3,9.5,.449,14.9,31.2,.233
287,Southern Methodist,25,17,8,.680,18.62,9.98,,6,6,,13,2,,3,5,,2155,1939,,71.4,119.5,.325,.348,.593,52.7,56.6,10.3,11.3,.560,13.6,35.3,.248
288,Southern Mississippi,28,14,14,.500,-6.36,-4.17,,7,8,,9,3,,3,10,,2054,2052,,69.3,104.9,.423,.310,.538,52.2,45.0,10.9,11.3,.489,15.9,31.8,.313
289,Southern Utah,26,9,17,.346,-10.31,0.52,,5,8,,6,4,,2,13,,1978,2069,,72.4,104.6,.319,.363,.550,49.7,51.6,7.5,9.6,.518,17.0,29.4,.231
290,St. Bonaventure,25,14,11,.560,2.01,1.01,,3,9,,8,5,,4,4,,1915,1851,,67.5,112.9,.293,.313,.563,52.5,56.6,11.1,13.7,.531,14.5,35.1,.220
291,St. John's (NY),25,20,5,.800,22.16,9.92,,13,1,,12,2,,7,0,,2108,1802,,72.0,116.5,.440,.338,.560,52.6,55.7,11.3,12.0,.518,12.5,36.8,.319
292,St. Thomas,28,21,7,.750,3.17,-5.24,,10,3,,12,1,,8,5,,2350,2035,,70.8,118.5,.356,.456,.615,49.0,57.2,11.4,7.1,.596,12.3,22.0,.246
293,Stanford,26,16,10,.615,11.77,8.89,,5,8,,10,6,,3,4,,1961,1886,,68.8,109.6,.369,.445,.544,50.9,47.4,11.5,9.7,.506,13.7,32.4,.268
294,Stephen F. Austin,27,24,3,.889,5.84,-4.41,,17,1,,14,0,,10,3,,2094,1763,,67.3,115.2,.296,.400,.547,53.5,49.7,10.5,9.9,.525,11.7,35.6,.198
295,Stetson,27,9,18,.333,-14.32,-3.96,,5,9,,7,4,,2,13,,1964,2175,,69.1,104.8,.341,.445,.549,48.3,57.8,9.3,5.5,.522,16.2,28.3,.231
296,Stonehill,27,9,18,.333,-15.70,-8.14,,6,8,,6,4,,3,13,,1756,1852,,66.7,96.2,.277,.402,.506,52.2,53.0,7.0,9.8,.477,17.8,29.5,.192
297,Stony Brook,27,16,11,.593,-4.42,-3.66,,8,6,,11,3,,4,7,,1943,1891,,66.8,106.2,.287,.456,.535,48.5,54.3,9.8,11.0,.505,14.2,28.7,.205
298,Syracuse,27,15,12,.556,10.95,8.13,,6,8,,12,4,,2,5,,2053,1977,,68.2,109.4,.370,.364,.552,48.6,47.7,9.5,16.1,.532,14.0,30.0,.234
299,Tarleton State,26,13,13,.500,-3.64,-1.14,,4,9,,9,4,,4,9,,1958,1885,,72.3,102.7,.414,.253,.543,48.8,43.1,15.1,9.9,.494,17.8,31.1,.312
300,TCU,25,16,9,.640,15.09,8.29,,6,6,,11,5,,3,4,,1972,1802,,70.0,111.1,.381,.371,.553,51.6,57.9,10.5,13.5,.517,13.7,33.1,.272
301,Temple,25,15,10,.600,0.60,-1.90,,7,5,,9,4,,5,3,,1867,1761,,65.8,113.0,.429,.373,.556,50.3,52.6,8.4,12.1,.509,12.1,30.6,.321
302,Tennessee,25,18,7,.720,22.05,10.29,,8,4,,13,1,,3,4,,2026,1732,,68.1,117.3,.412,.331,.561,59.2,61.9,10.8,10.7,.528,14.9,45.0,.288
303,Tennessee State,26,17,9,.654,-8.12,-8.64,,11,5,,8,2,,8,7,,2101,1979,,72.7,110.7,.340,.304,.546,51.9,46.4,12.8,9.7,.505,14.1,34.7,.258
304,Tennessee Tech,27,11,16,.407,-13.97,-7.97,,6,10,,6,6,,5,10,,2016,2046,,69.9,106.7,.347,.376,.551,51.5,48.7,8.7,7.7,.513,16.7,33.2,.259
305,Tennessee-Martin,27,20,7,.741,-4.06,-9.02,,12,4,,11,1,,8,5,,1958,1715,,67.8,106.9,.396,.467,.541,55.6,57.2,13.3,13.3,.510,18.1,39.9,.266
306,Texas,25,16,9,.640,17.96,8.37,,7,5,,11,3,,3,4,,2130,1859,,69.3,122.3,.457,.376,.600,56.6,44.5,8.9,7.3,.558,13.6,38.5,.344
307,Texas A&M,25,17,8,.680,17.81,6.57,,7,5,,12,3,,4,4,,2245,1964,,73.5,120.3,.370,.478,.589,50.6,63.9,11.3,9.5,.553,12.8,33.0,.277
308,Texas A&M-Corpus Christi,27,14,13,.519,-2.58,-0.41,,10,8,,8,5,,6,8,,1979,1845,,69.4,105.2,.406,.313,.536,52.6,51.7,11.4,9.3,.503,15.8,32.8,.273
309,Texas Southern,24,9,15,.375,-13.73,-4.82,,7,6,,7,4,,2,11,,1790,1904,,71.8,102.8,.400,.332,.545,49.2,41.6,9.4,8.9,.507,17.1,28.5,.284
310,Texas State,28,17,11,.607,-7.01,-6.59,,9,6,,15,1,,2,8,,2084,1984,,68.4,107.8,.339,.250,.552,53.8,48.9,12.7,11.1,.512,16.0,34.7,.258
311,Texas Tech,25,19,6,.760,23.19,13.55,,9,3,,12,1,,4,3,,2050,1809,,69.0,118.3,.279,.472,.578,52.3,55.3,9.2,9.1,.556,12.9,33.6,.197
312,Texas-Rio Grande Valley,27,15,12,.556,0.64,-1.32,,11,7,,8,5,,7,7,,2038,1874,,67.3,112.1,.290,.434,.576,50.9,62.1,9.2,8.4,.546,15.2,30.8,.219
313,The Citadel,27,9,18,.333,-16.88,-5.55,,6,8,,7,6,,2,11,,1867,2057,,64.8,104.7,.286,.496,.526,48.8,51.5,8.1,6.9,.498,14.3,29.3,.200
314,Toledo,26,13,13,.500,-0.86,-1.16,,7,6,,8,4,,4,8,,2102,2018,,70.4,114.8,.320,.325,.571,48.9,53.7,10.8,8.3,.535,13.0,31.4,.246
315,Towson,27,14,13,.519,-1.17,-0.37,,6,8,,9,3,,2,9,,1874,1808,,65.5,106.0,.297,.364,.507,54.5,40.6,9.6,8.9,.477,13.8,36.9,.202
316,Troy,27,17,10,.630,0.05,-2.75,,9,5,,8,3,,8,6,,2205,2016,,69.0,113.0,.344,.452,.561,51.7,57.9,11.8,8.5,.527,14.1,34.3,.251
317,Tulane,25,15,10,.600,-0.86,0.55,,6,6,,9,6,,5,2,,1817,1839,,68.4,105.7,.447,.442,.553,44.4,55.4,11.5,13.5,.500,14.2,22.6,.343
318,Tulsa,26,20,6,.769,11.30,1.55,,8,5,,10,2,,6,4,,2226,1898,,69.4,123.4,.411,.449,.612,54.4,53.1,8.9,6.8,.570,13.2,34.3,.322
319,UAB,26,16,10,.615,4.04,0.12,,7,6,,7,8,,7,2,,2075,1921,,71.5,110.1,.367,.308,.518,53.0,49.0,11.5,9.2,.480,10.5,33.9,.256
320,UC Davis,26,16,10,.615,-0.27,-0.72,,9,6,,12,3,,4,7,,2025,1931,,71.9,108.3,.394,.423,.570,49.4,61.2,11.2,8.0,.529,16.0,28.4,.295
321,UC Irvine,26,17,9,.654,3.15,-1.35,,10,4,,9,3,,5,5,,2019,1768,,71.8,107.1,.354,.283,.540,52.1,56.8,10.5,15.1,.510,14.8,32.4,.241
322,UC Riverside,27,8,19,.296,-8.81,0.31,,3,12,,5,6,,3,13,,1940,2102,,70.1,102.5,.336,.390,.536,49.3,49.9,7.3,10.4,.499,16.7,29.0,.245
323,UC San Diego,27,18,9,.667,3.38,-0.94,,8,7,,8,5,,6,4,,2061,1898,,70.1,109.0,.328,.434,.557,51.1,54.0,10.7,7.8,.531,14.4,27.8,.226
324,UC Santa Barbara,26,17,9,.654,1.90,-2.02,,10,5,,10,2,,5,6,,2059,1899,,67.3,116.6,.377,.424,.598,54.3,55.1,10.4,6.8,.562,15.8,34.0,.286
325,UCF,24,17,7,.708,13.27,9.19,,6,6,,12,3,,3,4,,1962,1864,,70.9,115.3,.304,.353,.568,53.8,53.9,7.7,8.1,.537,13.7,35.8,.227
326,UCLA,25,17,8,.680,16.85,9.41,,9,5,,14,1,,3,4,,1948,1762,,66.6,115.9,.361,.344,.573,50.2,56.8,9.6,10.3,.534,12.2,31.7,.276
327,UNC Asheville,26,12,14,.462,-4.81,-3.55,,6,6,,8,6,,3,8,,1919,1867,,67.9,108.2,.386,.352,.556,51.3,43.7,8.5,9.2,.522,15.6,31.4,.271
328,UNC Greensboro,27,12,15,.444,-10.83,-4.83,,8,6,,8,5,,3,7,,2124,2168,,69.0,112.5,.420,.397,.561,50.1,49.2,7.6,5.4,.526,12.6,29.0,.294
329,UNC Wilmington,26,22,4,.846,2.87,-4.93,,11,2,,13,2,,9,2,,2003,1743,,66.8,115.3,.435,.375,.553,54.8,51.4,7.7,7.3,.517,12.5,35.7,.299
330,UT Arlington,25,14,11,.560,-1.82,-1.56,,6,7,,8,3,,6,7,,1804,1703,,68.2,104.3,.414,.313,.540,54.3,50.6,11.2,10.2,.498,17.5,36.3,.297
331,Utah,25,9,16,.360,6.72,9.88,,1,11,,8,6,,0,8,,1909,1988,,69.4,109.5,.327,.384,.554,48.7,50.9,8.3,8.1,.521,14.1,29.4,.238
332,Utah State,25,22,3,.880,19.35,5.47,,12,2,,11,1,,7,2,,2117,1728,,68.8,122.4,.374,.405,.611,53.1,60.2,13.1,9.6,.587,13.8,35.6,.266
333,Utah Tech,27,16,11,.593,-2.44,-0.61,,9,4,,10,2,,5,8,,2077,1987,,69.3,108.5,.310,.379,.564,49.1,51.8,10.8,8.2,.537,15.3,29.6,.221
334,Utah Valley,25,18,7,.720,6.44,-0.93,,8,4,,12,0,,3,7,,2038,1703,,70.7,114.7,.339,.345,.594,54.6,63.8,13.8,15.1,.569,17.6,37.3,.240
335,UTEP,26,10,16,.385,-5.52,0.26,,6,9,,8,6,,2,8,,1815,1868,,66.5,103.4,.337,.377,.526,47.8,50.5,11.5,11.1,.493,15.1,29.3,.235
336,UTSA,25,5,20,.200,-14.87,1.52,,1,12,,2,9,,2,10,,1739,2016,,70.4,98.8,.294,.411,.492,46.8,44.3,9.5,12.4,.459,14.8,31.2,.203
337,Valparaiso,27,14,13,.519,-0.14,1.01,,8,8,,11,4,,3,9,,1926,1916,,66.5,105.9,.368,.362,.517,51.0,46.1,8.9,10.5,.478,13.4,33.1,.259
338,Vanderbilt,25,21,4,.840,23.96,9.16,,8,4,,12,2,,6,2,,2210,1840,,72.1,122.0,.388,.449,.604,51.5,57.0,11.9,14.0,.564,11.7,30.9,.302
339,Vermont,27,17,10,.630,-5.71,-9.15,,9,3,,9,3,,7,5,,2030,1886,,65.1,114.0,.318,.451,.577,53.5,50.1,6.7,9.5,.548,12.9,27.7,.233
340,Villanova,25,20,5,.800,17.86,9.22,,11,3,,11,2,,7,2,,1944,1728,,65.8,117.0,.328,.458,.568,51.1,55.7,11.2,6.0,.543,13.0,34.8,.227
341,Virginia,25,22,3,.880,20.45,6.45,,10,2,,12,1,,7,1,,2035,1685,,66.3,119.8,.351,.461,.571,56.2,59.1,9.6,15.7,.544,13.2,39.7,.246
342,Virginia Commonwealth,26,20,6,.769,13.16,2.16,,11,2,,12,2,,6,2,,2171,1885,,70.3,118.7,.448,.445,.587,52.3,53.2,10.6,11.8,.546,13.5,33.7,.332
343,VMI,27,6,21,.222,-20.31,-5.27,,1,13,,5,8,,1,11,,1955,2147,,69.2,104.7,.295,.546,.524,45.1,52.0,10.8,7.6,.491,13.1,27.0,.213
344,Virginia Tech,26,17,9,.654,12.70,8.27,,6,7,,12,3,,3,4,,2058,1943,,68.6,112.2,.361,.393,.556,49.8,51.4,9.5,9.1,.519,12.9,31.5,.265
345,Wagner,25,9,16,.360,-13.11,-7.51,,4,10,,6,5,,3,11,,1791,1839,,66.6,105.5,.302,.359,.534,52.5,49.6,8.3,7.0,.504,16.2,34.3,.213
346,Wake Forest,25,13,12,.520,12.93,10.25,,4,8,,9,6,,2,4,,1992,1925,,70.8,111.4,.348,.444,.566,48.4,53.5,12.1,11.3,.527,13.8,29.7,.266
347,Washington,26,13,13,.500,15.37,10.95,,5,10,,9,5,,3,7,,1998,1883,,67.9,112.1,.313,.336,.549,53.7,49.2,8.5,11.7,.511,13.5,35.2,.238
348,Washington State,27,11,16,.407,4.52,5.86,,6,8,,8,5,,1,9,,2068,2098,,69.4,110.4,.334,.453,.585,52.2,50.2,8.2,8.3,.554,17.0,30.5,.246
349,Weber State,27,13,14,.481,-2.81,-2.37,,7,7,,9,5,,4,9,,2202,2082,,71.2,113.5,.383,.337,.563,53.1,48.6,10.2,4.5,.526,13.4,32.9,.278
350,West Georgia,26,12,14,.462,-12.02,-5.15,,6,8,,8,5,,4,9,,1971,2078,,70.2,106.9,.294,.333,.527,50.0,46.7,9.4,13.1,.497,13.4,32.0,.208
351,West Virginia,25,16,9,.640,12.93,6.57,,7,5,,13,2,,3,3,,1753,1594,,64.1,108.4,.367,.428,.546,52.2,53.2,9.7,7.9,.517,14.8,30.8,.250
352,Western Carolina,25,10,15,.400,-8.54,-2.63,,6,8,,7,3,,3,12,,1952,1975,,69.8,110.8,.282,.408,.537,53.9,46.6,9.0,9.3,.511,14.1,36.3,.197
353,Western Illinois,27,5,22,.185,-22.52,-7.64,,1,15,,4,8,,1,14,,1766,2065,,67.2,96.8,.371,.327,.490,47.8,35.4,8.0,5.4,.451,15.0,30.1,.251
354,Western Kentucky,25,14,11,.560,0.17,0.26,,7,7,,10,4,,3,5,,1937,1866,,71.2,108.3,.391,.406,.515,51.2,51.2,10.6,8.2,.463,12.3,34.0,.295
355,Western Michigan,25,9,16,.360,-8.66,-2.35,,3,9,,7,5,,2,11,,1871,1983,,69.7,107.4,.322,.350,.540,51.7,49.3,7.1,8.0,.505,15.2,32.6,.235
356,Wichita State,26,16,10,.615,8.46,2.14,,8,5,,12,3,,4,4,,2005,1821,,66.7,113.4,.365,.350,.534,54.5,43.6,9.1,10.7,.504,12.4,38.9,.246
357,William & Mary,26,16,10,.615,1.99,-1.43,,7,7,,9,2,,5,8,,2175,1999,,74.2,112.8,.398,.431,.591,50.0,64.3,10.9,11.5,.556,15.1,27.9,.295
358,Winthrop,27,19,8,.704,0.74,-4.30,,11,1,,11,1,,7,7,,2296,2014,,71.7,118.1,.425,.456,.570,53.9,55.3,10.0,8.6,.527,12.7,35.8,.315
359,Wisconsin,25,18,7,.720,18.61,10.53,,10,4,,13,2,,4,2,,2092,1890,,69.8,118.2,.345,.511,.579,51.7,56.7,8.0,8.7,.540,11.3,29.9,.268
360,Wofford,27,17,10,.630,-6.35,-6.35,,9,5,,9,3,,8,7,,2137,2079,,68.5,115.6,.371,.431,.564,50.8,51.8,8.3,9.2,.529,12.1,31.7,.267
361,Wright State,27,17,10,.630,0.20,-3.68,,12,4,,9,4,,7,5,,2167,1968,,68.6,116.5,.372,.347,.581,52.9,49.7,11.0,12.3,.549,13.9,34.3,.270
362,Wyoming,25,13,12,.520,8.33,4.91,,4,10,,11,4,,1,8,,1936,1830,,68.3,113.4,.380,.422,.560,53.8,52.6,9.8,7.5,.521,14.3,35.2,.282
363,Xavier,25,13,12,.520,8.24,9.00,,5,9,,11,4,,1,7,,1944,1963,,71.8,107.7,.279,.409,.540,47.6,64.4,9.5,10.4,.513,12.3,26.4,.198
364,Yale,24,20,4,.833,6.90,-2.29,,8,2,,8,2,,8,2,,2000,1716,,66.6,123.8,.359,.363,.610,53.7,55.9,8.0,8.9,.576,12.1,33.6,.275
365,Youngstown State,27,13,14,.481,-3.47,-4.56,,6,10,,8,5,,4,8,,2144,1967,,69.2,114.2,.309,.497,.583,51.8,53.3,10.8,9.5,.553,15.9,33.9,.230
